cost,risk_months_supply
1749783397.884454,72.0611476257101
2152336451.221656,145.41224711138682
1807787659.0371945,107.0072357836935
2083531248.901172,141.973962331937
1825351599.860405,111.70915838370495
2057576134.4907863,139.84582585245283
1957078598.7382984,131.37723737041134
1977623140.2459393,132.8623687552055
1941510029.350821,129.53113867450958
1900481134.8046565,124.53781903690785
2035613971.7965443,138.62741651891116
1838377572.133019,114.76697065538072
2133109009.4660473,144.91939701406943
1774142586.2474666,92.31741555845156
1768112459.5324566,87.15819407045736
1887968943.8059049,122.9689862112685
1910585803.7175357,125.7730496732576
1787742105.1465232,100.01223653955779
1766185387.5500743,83.99872432784784
2113278505.4068084,144.02469759112685
1996752725.7918103,134.53520630454463
1969247223.9960854,132.1390462646985
1756788927.2184315,77.78209695656965
2017502995.1551197,137.23582526132327
1796189570.4602065,103.56893811495839
1761943230.4566078,81.59352925811147
1833007844.976637,112.76118887177127
1857497464.5722954,117.01857858084813
1783841888.0772297,97.18392522081759
2094548649.0153575,142.87547970745342
1862353124.2548394,118.8944054000179
2045526571.2047932,138.9076353100207
1851620687.2547753,116.08601618422094
2142597307.0205657,145.27717418264373
1921095210.8231912,126.8253131583562
1771864972.0317943,89.16325735420463
1755031596.695623,75.32599072275526
1779141127.9341817,94.42494166131651
1934779803.6259103,128.14094669094086
2009491010.2401657,135.95641284726779
1753900946.1393974,74.53293182349468
1869478837.3542843,119.56614726414912
1923423906.7467132,127.27367420828496
1803429433.2679439,105.89073939897699
1932248176.1190948,127.84424226861229
1882879254.2206364,121.69278534842685
1876464516.7291903,120.88564985169516
1756442701.3099582,77.5224780909525
2016848911.5581536,137.19299082800146
1771783648.1686783,89.13574903552936
