cost,risk_months_supply
989081673.9455392,21.016903556526344
1276446336.4791465,34.72511490684405
1020974186.8731673,25.938118135517396
1000321983.918054,22.79548934593599
1267813159.4727864,34.654295501626734
1247833608.5112495,34.4908030200055
1006298347.8136015,23.535798029549714
1029691255.5207889,26.790670963473826
1025150679.0718985,26.324086778769676
1136402801.136279,32.33095277955561
1015648759.3018612,25.169051455909305
1048774163.5645082,28.671647842195995
1012572828.0383011,24.781203256624345
1097697607.8255692,31.146834532261682
1197198295.0454986,33.86020741369622
1185125456.629888,33.607034436019255
1041081025.0219864,27.96957447693699
1043296435.8773582,28.17103898708762
1008600487.7794478,24.202608319964515
1036854857.9533231,27.298553811292386
1154286018.5483308,32.85331839201807
1142261751.8963077,32.4800119585566
1037568362.2116238,27.372518186896436
1053644376.6435648,28.84319365412952
1125304154.1795166,32.02959843952411
1094641403.9761822,30.96607658188235
1107645033.2136033,31.432043471186624
1007321379.3180414,24.021685141770348
1161784806.2845225,33.04783635222823
1164719287.4735937,33.13000346956885
997236901.2994108,22.260728651423236
1119746876.5350308,31.794339156941618
1171531145.1779497,33.333415696930686
1056761510.7155336,29.158991566634704
1065501332.2196839,29.600023158807225
997366357.57566,22.360411459056415
1089441527.350826,30.71958271097237
1231120782.7107534,34.33186471152303
1088426365.8661132,30.58559318333213
1112890852.6588733,31.662763784736853
1211306762.9188924,34.080751209074066
995710413.8807501,21.692198911761476
1069477747.9002964,29.796017928486663
1078284307.718734,30.196432848273428
1059155812.6833236,29.3393813891401
1072491823.023798,30.03611492002429
1146765221.8967373,32.73906383012312
991065631.1946189,21.36201471042494
995710381.9684324,21.69219613364319
1014575450.8714678,25.024205118341996
