water_production_AF_month,electricity_cost_usd_month,fixed_cost_usd_month
0.0,10000.0,366000
43.85964912280702,-225457.06371191138,366000
87.71929824561404,-405512.46537396125,366000
131.57894736842107,-530166.2049861497,366000
175.43859649122808,-599418.2825484765,366000
219.2982456140351,-613268.6980609416,366000
263.15789473684214,-571717.4515235457,366000
307.01754385964915,-474764.54293628805,366000
350.87719298245617,-322409.9722991688,366000
394.7368421052632,-114653.73961218819,366000
438.5964912280702,148504.15512465453,366000
482.4561403508772,467063.71191135794,366000
526.3157894736843,841024.9307479234,366000
570.1754385964913,1270387.8116343496,366000
614.0350877192983,1755152.354570638,366000
657.8947368421053,2295318.5595567874,366000
701.7543859649123,2890886.426592799,366000
745.6140350877193,3541855.9556786707,366000
789.4736842105264,4248227.146814406,366000
833.3333333333334,5010000.0,366000
