water_production_AF_month,electricity_cost_usd_month,fixed_cost_usd_month
0.0,4250.0,366000
18.640350877192983,-38279.43213296399,366000
37.280701754385966,-70801.93905817175,366000
55.921052631578945,-93317.52077562324,366000
74.56140350877193,-105826.17728531857,366000
93.20175438596492,-108327.90858725763,366000
111.84210526315789,-100822.71468144041,366000
130.48245614035088,-83310.59556786704,366000
149.12280701754386,-55791.55124653742,366000
167.76315789473685,-18265.58171745151,366000
186.40350877192984,29267.313019390567,366000
205.04385964912282,86807.13296398905,366000
223.68421052631578,154353.87811634352,366000
242.32456140350877,231907.54847645422,366000
260.96491228070175,319468.14404432126,366000
279.60526315789474,417035.66481994453,366000
298.2456140350877,524610.110803324,366000
316.8859649122807,642191.4819944599,366000
335.5263157894737,769779.7783933518,366000
354.1666666666667,907375.0,366000
