water_production_AF_month,electricity_cost_usd_month,fixed_cost_usd_month
0.0,4044000.0,366000
22.17105263157895,4044000.0,366000
44.3421052631579,4044000.0,366000
66.51315789473685,4044000.0,366000
88.6842105263158,4044000.0,366000
110.85526315789474,4044000.0,366000
133.0263157894737,4044000.0,366000
155.19736842105263,4044000.0,366000
177.3684210526316,4044000.0,366000
199.53947368421055,4044000.0,366000
221.71052631578948,4044000.0,366000
243.88157894736844,4044000.0,366000
266.0526315789474,4044000.0,366000
288.22368421052636,4044000.0,366000
310.39473684210526,4044000.0,366000
332.5657894736842,4044000.0,366000
354.7368421052632,4044000.0,366000
376.90789473684214,4044000.0,366000
399.0789473684211,4044000.0,366000
421.25,4044000.0,366000
