cost,risk_months_supply
1495306282.902844,35.633097541569896
1799928060.6357791,68.7034493978379
1518035924.8745446,45.08501890748958
1685505270.337669,63.46897604920157
1789057260.3263059,68.26879127888667
1702258230.220506,64.71752264313996
1507390592.0335553,40.832824805630246
1544467482.1239557,50.172504866546724
1525600613.191628,46.87598245175901
1535484931.1806805,49.17222093428461
1504584349.5817862,39.605365652766395
1773900561.4534142,67.78774928964701
1515314269.4023366,43.53973248719615
1511259288.86177,42.29569413928283
1624284711.758145,59.852888572234086
1723360747.7818108,65.61511417292111
1663365416.2239368,62.35672735465844
1634470264.200617,60.2605256208548
1597678078.0683115,57.39583747489684
1546306828.5684855,51.380353028367914
1620201704.748938,59.21835131711371
1612084075.2988276,58.856073563543575
1497651932.0228791,36.14923320877877
1531418671.746941,48.37427125738358
1743712856.030765,66.468876159671
1704815056.3009686,64.83929559636286
1764787356.3395748,67.05352939491995
1566732138.4411285,54.048395593868065
1736323369.3119786,66.08281110581366
1716451480.014639,65.31680019854798
1680794208.5965712,63.258279046540835
1554914337.1610126,52.83867102899518
1512622658.8272443,42.937258039060985
1673894517.6165235,62.467244795784154
1644144458.9735363,61.02013067309107
1603275808.3850036,58.02661404835019
1552783229.7169073,51.63745419227835
1573296269.301545,54.76129719631617
1674156478.401508,62.86172286014524
1757096328.9755452,67.01581014431824
1580414160.4930186,55.475094241086126
1559911568.5416114,53.30974270319418
1500381386.443749,37.32286553741112
1502651971.234658,38.53798249923105
1500381386.4437644,37.322865537428996
1553949508.9773297,52.13876955066735
1607205439.0123224,58.329910930426216
1650738097.4869313,61.13970439011714
1752798124.3669498,66.84043506166594
1655469562.705298,61.91566965841842
