water_production_AF_month,electricity_cost_usd_month,fixed_cost_usd_month
0.0,0.0,366000
43.85964912280702,32865.49707602339,366000
87.71929824561404,65730.99415204678,366000
131.57894736842107,98596.49122807017,366000
175.43859649122808,131461.98830409357,366000
219.2982456140351,164327.48538011697,366000
263.15789473684214,197192.98245614034,366000
307.01754385964915,230058.47953216374,366000
350.87719298245617,262923.97660818713,366000
394.7368421052632,295789.4736842105,366000
438.5964912280702,328654.97076023393,366000
482.4561403508772,361520.4678362573,366000
526.3157894736843,394385.9649122807,366000
570.1754385964913,427251.4619883041,366000
614.0350877192983,460116.9590643275,366000
657.8947368421053,492982.4561403509,366000
701.7543859649123,492982.4561403509,366000
745.6140350877193,757960.5263157897,366000
789.4736842105264,1022938.5964912283,366000
833.3333333333334,1287916.666666667,366000
