water_production_AF_month,electricity_cost_usd_month,fixed_cost_usd_month
0.0,0.0,366000
13.706140350877194,14912.280701754386,366000
27.412280701754387,29824.56140350877,366000
41.11842105263158,44736.84210526316,366000
54.824561403508774,59649.12280701754,366000
68.53070175438597,74561.40350877192,366000
82.23684210526316,89473.68421052632,366000
95.94298245614036,104385.9649122807,366000
109.64912280701755,119298.24561403508,366000
123.35526315789474,134210.52631578947,366000
137.06140350877195,149122.80701754385,366000
150.76754385964912,164035.08771929823,366000
164.47368421052633,178947.36842105264,366000
178.1798245614035,193859.64912280702,366000
191.8859649122807,208771.9298245614,366000
205.5921052631579,223684.2105263158,366000
219.2982456140351,223684.2105263158,366000
233.0043859649123,343914.4736842105,366000
246.71052631578948,464144.7368421053,366000
260.4166666666667,584375.0,366000
