cost,risk_months_supply
1422003163.1524053,43.348002350570866
1075261767.64599,24.39333413434938
1216824586.9282556,38.339152311258715
1260548501.8240829,39.90904626467805
1199500146.1489935,37.67785793605857
1121429485.3619494,32.02027354310458
1386117211.9761374,42.89988196471065
1355908416.8682296,42.43502436120052
1130126307.1151214,33.23653361441277
1290814985.879023,40.909757209890685
1347844170.7278297,42.25902072292992
1114866505.8834388,30.95572471352553
1180865901.6324267,36.82427034058536
1224764342.9392836,38.867985795314254
1137288840.0688944,33.656841966730155
1088966134.4889674,26.89202695337774
1375240385.0873103,42.667905008498906
1084602502.6280959,25.933845444292814
1275709785.7949796,40.479966238864016
1173219039.770645,36.3994901413245
1307846485.53786,41.32952200845238
1333892180.7925384,42.01319897863145
1241961368.6795592,39.180168116939214
1404996085.904442,43.149440757327106
1092788500.056016,28.016320832700778
1233030585.1718,38.963516411781356
1288550080.0601385,40.60625470728899
1103858021.729939,29.840018466709108
1106433415.6901405,30.330652733838853
1150496528.3390067,34.939289404356174
1250399771.5606465,39.73699012039292
1125471244.3409631,32.441946677646364
1198254170.9776843,37.33252296916275
1090470850.0256462,27.172206648924362
1145851868.3890567,34.446902924352884
1245365409.412762,39.573124529754764
1314329658.8194308,41.513356596861726
1139707244.1527457,34.21455604288574
1111228219.928936,30.606974320688153
1412410475.5891438,43.207504034735095
1100956564.5136244,29.39195201700624
1097068713.9123702,28.622341630930908
1083752282.8247995,25.75896415639769
1081739409.647162,25.222018224168554
1093597938.0639808,28.25711038418022
1275796588.9922423,40.48423031945579
1375914779.416687,42.77935818707506
1189461049.2060704,37.13661341214518
1188294533.3331122,37.092590975916245
1153952681.5245824,35.17005071099519
