cost,risk_months_supply
1367842569.2374713,87.7083122009616
2173406625.573349,177.66267524976948
1485418823.2435527,129.35039477361045
1520017732.5432925,135.3127663987121
1459387443.940295,124.83720145695392
2049298226.3677075,174.35495032978412
2085780621.959578,175.35947163940972
1917735272.3787658,168.00811409593967
1420547967.0509918,110.63245728799777
1427074478.6647666,113.75294802502144
1400761362.1702538,102.67393576425145
1714194885.3916614,154.85954177980224
1386748809.529662,95.96702590066619
1949563283.5675938,169.50893378443465
1375856453.4889903,90.80573658361922
1434173932.2669997,117.92891838779705
2133001652.6004536,177.12915434039436
2019291608.0775578,172.42661331286047
1634894487.1825309,146.36530872048002
1676134245.87316,150.47463819336377
1411044294.9957833,108.20183379332146
1745555343.823279,156.77391117502322
1659808964.203137,148.88478292052474
1900919593.6269112,166.73538997015584
1592779532.7163587,144.4940639046519
1571204819.3865142,142.60147955748644
1606040196.2161653,145.38281781435268
1392287942.0817177,99.60029383261123
1744710848.217339,155.25950476027896
1960011491.4697502,169.9617489272121
2027787734.9594502,172.91611268077747
2153725669.237402,177.51019889548914
1987931070.1089635,171.32441628876967
1431519020.4185302,116.59982983612954
1885262354.401947,166.0023141197766
1870565795.280745,165.18985840418702
1448815115.00152,121.34161111264511
1771767507.153111,157.96463024829296
1447317728.8494456,121.10361628477249
1682612926.1837552,152.64667302432105
1550345005.7510777,140.4597761646367
1409282019.8497167,106.13598992217305
1535523115.4399137,137.89721367434407
1577214647.352853,143.02056435326548
1549393173.8368037,140.3658706880505
1823962481.9759662,162.03304649716725
1984125684.0961564,171.01542764602445
1535592223.7764235,137.89937046614713
1702229729.9136379,153.02702629977108
1380848579.7413914,93.73894145613333
