6329.9	5944	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8341.1	7239.4	6221.1	6991.5	6299.2	3817.4	4473	6535.3	5139.4	6190.6	7455.1	7873.7	7182.6	8800	8800	8800	8800	8800	6814.1	6379.8	7407	6468.1	6888.8	7488	6913	6902.1	6418.1	6342.6	6297.1	6811	4988.2	6707	5574.2	7026.3	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	5328.2	3414.3	2683.4	4212.9	4223.9	8800	8800	8800	8800	8800	8800	8800	8800	8342.8	5898.6	4524.4	6746.8	6853.6	6294.2	6490.7	6843	6566.1	7012.2	7141	5664.7	8115.6	8324.7	8800	8800	8800	8800	8800	8200.4	7092	2386.8	3245.6	3152.8	4315.8
8800	8800	8800	8800	8800	8222.7	2672.2	1635.7	5982.7	6341.3	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8047.7	7557.1	6978	7719.1	7645.6	7800.1	8800	8069.4	7740.5	8023.2	7630.7	6492.9	8413.9	8212.6	6858.3	8800	8800	8800	8800	8800	8800	8800	8800	8800	7304.2	7035.8	5001.4	7407.7	7451.1	8103.4	6627.3	6312.4	6288.8	6406	7524	7357.6	8427	6556.1	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8026.4	7544.7	6100.9	5987.7	4606.2	6066.5	5816.1	6980.7	6622.4	6446.4	5860.9	5675.2	8303.1	8681.3	8800	8800	8800
2122.7	5289.8	5093.3	4801.5	6121	6342.7	5670.2	6561	6994.5	5076.8	6367.6	5426.7	4824.4	3810.5	5993.5	8800	8800	8800	8800	8800	6236.5	4548.7	4143	1965.1	3115.1	4790.1	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8527.9	7719.6	6369.3	5158.2	4761.8	5220.1	5420.1	5869.7	6683.5	5845.4	6809.1	6273.3	7481	7130.1	8607.9	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8681.5	7643.4	7635.8	5590.1	7621.6	6654.5	8800	7345.2	8800	7683.4	8411.8	7712.1	8449.3	7047.3	8282.3	8645	7946.7	8800	8800	8800	8800	8800	8800	8800	8800	8800	4859.2
5086.6	8720	8800	8800	8800	8800	8800	8800	8800	7957.6	2797.9	4135.9	6274	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8493	7214.1	8683.4	7258.5	8078.6	7067.9	8787.3	6358.8	8758.4	7127.2	8800	7471.2	8800	7894.8	8390.4	8757.4	8611.7	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	5975.3	5025.4	5154.7	4156.5	3850.2	4923.3	6623.3	5527.6	8116.4	7748	7760.5	6003.5	7886	5147.8	7062.4	5752	8800	7795.9	8800	8800	8800	8800	8800	8800	8800	8759.9	8800	8800	8800	8800	8800	8800	8800	8800	8800	6281.9
8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	5676	4341.4	4194.3	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	7525.6	8145.2	7820.9	7415.2	7870.1	8800	7354.9	7446.9	7821.7	7394	6519.4	7317.4	8028.7	7613.3	8800	8800	8800	8800	8800	8800	8800	8800	8800	6220.3	3981.9	3007.8	4169.4	5939.4	8412.3	8800	8800	8800	8800	8800	8800	8800	6599	7259.2	6274.9	6855.4	8652.2	7772.2	8106.9	8334.7	8460.5	7989.9	8800	8074.2	8208.3	8005.1	8800	7844.9	8778.9	8126.8	8800	7965.8	8191	8336.5	8608.3	8800	8712.3	8800	8800	8800	8800
4988.3	7151.7	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	5428.8	6582.9	4160.2	2375.5	3698.2	3489.8	4270.4	5002.8	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	7314.4	6983.3	5641.3	5626	5277	6065.3	6203.6	6034	6007.3	5906.4	6171.7	6908.1	6549.8	7588.2	7624.8	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8075.3	7482.3	6871.6	6064.9	5954.6	6270.9	5948.4	6836.7	7226.9	8035.1	6496.6	5981.7	5986.2	6886	5818.5	5767.9	6083.7	4493.7	3492.9	4068	5274.9	4242.3	4422	6338.8	8016.7	8800	8800
8800	8800	6982.9	8800	8800	8800	8800	8800	8155.7	7950.1	7168	7420.4	7967.3	6450.5	7739	7899	6602.1	8089	7762.7	6379.9	6547.3	8288.1	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8617.4	8800	8535.5	8800	8348.1	8573	8800	8592.4	7340.3	7883.2	8377	6790.8	7371.2	8342.6	8006.7	8052.3	8800	8026.9	8800	8800	7622	7956.6	8800	7627.3	7755.9	8800	8321.1	8800	7821.7	8076.6	8800	8207.8	8162.6	8800	8800	7711.6	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	7136.3	4947.4	5222.4	3160.8	2657.3	3177.8	2928.9	4024.8
4384.1	5634	5993.8	6105.1	6210.4	6515.9	6217.5	6264.7	5725.7	5573.3	5458.4	6178.5	5829	5680.9	5309	4939.7	4951.1	6100.8	8315.2	8800	8800	8800	8800	8800	8800	8800	8800	7904.7	5595.6	4981.5	6951.3	6328.8	5234.1	5559.5	5855.5	3249.9	4690.4	4938.3	6875	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	5993	7022.9	5827.7	6545.7	4968.8	4894.8	5407.9	5662.9	4739.9	6653.5	6126.3	6456.9	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8623.3	8557.7	7373.1	6519.7	6717.9	6022.5	4665	5165.7	5491.1	5434	7919.6	8066.9	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800
6570	7334	5340.8	5896.5	5087.4	4083.9	2597.4	3518.3	2194.5	2363.5	5417.7	5581.4	7816.8	7684.7	8800	6505	8744.8	6090.2	7513.9	5307.5	6282.5	4234.2	4630.9	5264.7	6685.3	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	6865.6	7034.8	6377.7	8118.6	7611	8800	8178.8	6817.4	6468.9	6287.5	5356	5342.1	7929.9	6414.2	7324.9	5643.6	8127.5	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	3929.3	3273.7	3317.9	4172.3	4702.3	6468.4	6707.8	6552.5	5115.5	4684.1	2896.8	2192.7	743.1	875.71	4306.6
8800	8800	8800	8800	8800	8800	8800	8800	8800	6591.7	6148.5	5011.8	5192.1	4938.7	5705	5728.2	5207.5	6986.3	8490.9	7280	8367.2	7263.8	6957.7	6745.5	6330.3	6471.4	7564.4	7076.6	6247.5	7021	8376.7	7850	8800	8725.3	8800	7318.1	6263.6	6258.7	8363.3	8800	8800	8800	8800	8800	8800	5853.7	7570.3	5861.9	6992.2	7613.9	8540.5	7733.5	7807.1	7582.3	6198.4	5888.1	6013.2	5147.6	6831.2	7498.8	7041.7	6719.6	6280.7	4007.6	3593.7	3530.2	3286.5	4776.9	4677.6	6524	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	4820	5105.5	5644.3	5113.5	4813.5
