water_production_AF_month,electricity_cost_usd_month,fixed_cost_usd_month
45.20547945205499,94130.1441080764,366000
90.41095890410884,121219.09755916898,366000
135.6164383561623,148057.25884732886,366000
180.82191780821682,174293.15733851652,366000
226.02739726027303,200799.9606429677,366000
271.2328767123316,227143.0941889036,366000
316.4383561643849,257652.4979751841,366000
361.6438356164381,290929.36068327003,366000
406.8493150684726,328861.4554144895,366000
452.0547945205325,391616.45450821903,366000
