case,case_label,fraction,scenario,cost,risk_months
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.6,10,1124590280.780943,27.136276451523376
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.6,11,1124590280.780943,25.667015748605884
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.6,12,1124590280.780943,21.137998792226018
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.6,13,1124590280.780943,25.599507659472273
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.6,14,1124590280.780943,25.170165004577672
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.6,15,1124590280.780943,29.318951380939776
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.6,16,1124590280.780943,26.067838124960492
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.6,17,1124590280.780943,29.95445362243552
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.6,18,1124600280.780943,23.69442829121084
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.6,19,1124590280.780943,26.70434189292586
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,0,1074480193.997214,23.44966222135337
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,1,1074470193.997214,27.66286698264336
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,2,1074470193.997214,24.907276020374894
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,3,1074490193.997214,21.57036412407886
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,4,1074470193.997214,28.096968555437254
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,5,1074470193.997214,25.183263866712203
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,6,1074640193.997214,26.30935161776407
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,7,1074500193.997214,22.738592822284087
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,8,1074770193.997214,20.793514134531442
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,9,1074480193.997214,17.877815940059293
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,10,1074470193.997214,25.274793086971478
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,11,1074500193.997214,24.045273378210755
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,12,1074490193.997214,19.21871271415338
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,13,1074470193.997214,23.059653176127128
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,14,1074480193.997214,23.086157639522945
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,15,1074470193.997214,28.086975910620644
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,16,1074470193.997214,23.06635030241772
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,17,1074470193.997214,27.750640842228826
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,18,1074490193.997214,20.973869810295824
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,19,1074490193.997214,24.254513641744047
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,0,1020545580.313231,20.502165148780993
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,1,1020425580.313231,25.977747694132354
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,2,1020425580.313231,22.37274122285904
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,3,1020575580.313231,19.669047664647998
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,4,1020425580.313231,26.08518888928909
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,5,1020435580.313231,23.098545040312086
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,6,1020635580.313231,22.48189052238982
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,7,1020495580.313231,20.423015436828948
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,8,1020815580.313231,18.74260207205525
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,9,1020545580.313231,15.22631300623554
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,10,1020425580.313231,23.35198665055914
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,11,1020535580.313231,21.856697296078952
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,12,1020545580.313231,17.61321760052705
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,13,1020475580.313231,20.521334593996208
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,14,1020495580.313231,20.759511055103932
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,15,1020435580.313231,26.5392249990134
