case,case_label,fraction,cost_mean,cost_p10,cost_p50,cost_p90,risk_months_mean,risk_months_p10,risk_months_p50,risk_months_p90
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.2,1113292562.4297223,1113230562.4297223,1113270562.4297223,1113340562.4297223,25.279358102533035,21.45438366385266,24.973129114878752,30.19445580821372
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.01,1092945783.794906,1092801283.7949057,1092962283.7949057,1093076283.7949057,21.939871260396746,18.065226780812967,21.689041229613053,26.93568089433165
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,1466335284.197408,1466335284.1974082,1466335284.1974082,1466335284.1974082,43.35018893874288,42.61041281069751,43.26362699596704,44.53191579180904
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,1390164644.745048,1390163644.745048,1390163644.745048,1390163644.745048,40.73308945097862,38.38984438933625,40.85118000401485,42.85399373078699
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.6,1305989910.4657226,1305980910.4657228,1305980910.4657228,1305987910.4657228,37.56211430444241,34.75749269845143,37.506663863844395,40.61956478592835
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,1229167906.131747,1229151906.1317468,1229151906.1317468,1229165906.1317468,33.73438083146729,29.81153813830878,33.700499718297486,37.77069431786105
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,1152869519.1604931,1152820519.1604934,1152845519.1604934,1152911519.1604934,29.118242769791703,24.93748274751826,28.786016819922658,34.49205148013518
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,1121819695.1210184,1121676695.1210186,1121827695.1210186,1121943695.1210186,24.618960116280242,20.26964970882991,24.328023538246747,30.211583429452325
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,1.0,1829354001.5784137,1829354001.5784135,1829354001.5784135,1829354001.5784135,74.18748444626739,73.72803005824063,74.12452876712389,74.69280220244326
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,0.8,1715110333.764154,1715110333.7641544,1715110333.7641544,1715110333.7641544,70.79728231444889,69.84085804896091,70.6819439904458,71.90575913768613
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,0.6,1601525217.0884285,1601525217.0884285,1601525217.0884285,1601525217.0884285,65.94044695775341,63.6369908298677,65.95323326848406,68.51357564988182
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,0.4,1488023904.164369,1488014904.1643693,1488014904.1643693,1488021904.1643693,58.784879061189166,54.39563354150665,58.698098870435686,63.569802916459665
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,0.2,1376955328.4749303,1376930828.4749303,1376930828.4749303,1376963828.4749303,49.300262685902815,42.6487839993409,48.922510179158145,57.0269978914761
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,0.01,1312809923.7987835,1312662423.7987838,1312817423.7987838,1312935423.7987838,38.70687480468561,31.862367965152107,38.24903160738313,47.46066033962753
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,1.0,2193134410.502734,2193134410.502735,2193134410.502735,2193134410.502735,177.66267524976948,177.38469084782895,177.67091076436338,177.9518639366256
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,0.8,2041004573.864432,2041004573.8644319,2041004573.8644319,2041004573.8644319,172.62125522500108,171.55257294614285,172.73107077377853,173.4542705774315
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,0.6,1880436064.098127,1880436064.098127,1880436064.098127,1880436064.098127,162.71706180303352,160.5190956537026,162.45144079325362,165.26506492809614
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,0.4,1737205540.4094048,1737204540.4094048,1737204540.4094048,1737204540.4094048,146.51330037492627,138.08530225719682,146.93829608319564,154.1427944155693
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,0.2,1557646107.9781537,1557630107.9781537,1557630107.9781537,1557644107.9781537,121.33983575530104,107.2289725408305,121.21806002542712,135.85904683639734
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,0.01,1490874432.533474,1490729932.533474,1490884932.533474,1491000932.533474,89.36878839248875,73.54066891790438,88.0246557479216,109.64092507854782
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,1.0,1216035765.769622,1216027265.7696218,1216027265.7696218,1216034265.7696218,29.903587961950716,27.76809640146254,29.881211215491874,32.159427805935294
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,0.8,1147704204.7616744,1147692204.7616746,1147692204.7616746,1147704204.7616746,28.18655851998297,25.37459050779451,28.141200597349993,31.021583471996063
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,0.6,1100286175.7046618,1100268675.7046618,1100268675.7046618,1100291675.7046618,26.103503687957254,22.970518677077724,26.11139724750761,29.381097472692392
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,0.4,1054971024.6761525,1054939024.6761527,1054949024.6761527,1054983024.6761527,23.86890065384838,20.634723961763125,23.746002174527263,27.78297391655059
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,0.2,1011689889.9895436,1011610889.9895434,1011680889.9895434,1011766889.9895434,21.499362841980904,18.13308730444247,21.21977174462112,25.98714933715807
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,0.01,1004672130.5868976,1004526630.5868976,1004682630.5868976,1004801630.5868976,19.306578012353306,15.896558841670185,19.07749783803924,23.700796944764683
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,1.0,1267681877.629699,1267678877.6296988,1267678877.6296988,1267680877.6296988,33.87607343434202,31.89728423662051,33.87090164183064,35.939661750291
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,0.8,1191593487.7789502,1191584487.7789502,1191584487.7789502,1191591487.7789502,31.817295246489216,29.44139141457955,31.77021469580545,34.407346185108814
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,0.6,1135469301.4797359,1135455301.4797359,1135455301.4797359,1135468301.4797359,29.493405669779737,26.302719029030314,29.406553342468435,32.8080128579369
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,0.4,1085643353.8861058,1085618853.886106,1085618853.886106,1085651853.886106,26.683833551928142,23.083794578408863,26.47927676024809,30.866176878442868
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,0.2,1038839356.8011051,1038771856.801105,1038821856.801105,1038891856.801105,23.66589638948566,20.0320162523216,23.410415579861905,28.478666702521256
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,0.01,1031283769.9214795,1031138769.9214797,1031299769.9214797,1031413769.9214797,20.80540042586073,17.131158360234224,20.566617572622857,25.541560963145074
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,1.0,1381389384.9658284,1381389384.9658284,1381389384.9658284,1381389384.9658284,36.79427422001508,34.957386708517845,36.88232209811427,38.52605426004626
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,0.8,1285851697.105029,1285845697.1050289,1285845697.1050289,1285850697.1050289,34.52193256368007,32.16727820454606,34.47347111275535,36.93442629260236
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,0.6,1223405944.304092,1223393944.304092,1223393944.304092,1223405944.304092,31.970838005306955,28.781339942602493,31.919390404999984,35.186488593425366
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,0.4,1163956144.6738617,1163934644.6738615,1163934644.6738615,1163967644.6738615,28.768339211686868,24.90067192227063,28.615053210909764,32.87151554343694
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,0.2,1106753847.539804,1106691847.5398045,1106731847.5398045,1106801847.5398045,25.27847369986627,21.45355857610518,24.972295936830896,30.193488073957838
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,0.01,1080107691.4252348,1079963191.4252346,1080124191.4252346,1080238191.4252346,21.939269614909822,18.064732305998227,21.68844623532948,26.93494287662505
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,1440054352.9385629,1440054352.9385626,1440054352.9385626,1440054352.9385626,43.34800235057118,42.6083541739457,43.261387985776835,44.52999046336219
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,1339935277.158807,1339934277.1588073,1339934277.1588073,1339934277.1588073,40.73095707076324,38.38798097589519,40.84911769153138,42.85201026931264
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,1264058532.47424,1264049532.4742403,1264049532.4742403,1264056532.4742403,37.56020515209322,34.755459033454606,37.50462672757111,40.617751177148776
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,1199653861.319982,1199637861.3199823,1199637861.3199823,1199651861.3199823,33.732702365279614,29.809818065213328,33.69885333728129,37.76911884206902
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,1137380886.9422526,1137331886.9422526,1137356886.9422526,1137422886.9422526,29.116895628111187,24.93626418819784,28.784733673225396,34.49036474472114
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,1107650512.8572228,1107507512.8572226,1107658512.8572226,1107774512.8572226,24.618053949956572,20.268904934112424,24.327132411511762,30.21047609405938
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,1.0,1792753286.161509,1792753286.1615088,1792753286.1615088,1792753286.1615088,74.18046130528958,73.72089133319241,74.11769274990182,74.68576254291467
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.8,1640587702.8192341,1640587702.8192344,1640587702.8192344,1640587702.8192344,70.79058252951339,69.83436566498582,70.67501466353508,71.89912306508813
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.6,1526423568.4513855,1526423568.4513855,1526423568.4513855,1526423568.4513855,65.93392756879827,63.629004197808314,65.94715543411752,68.50715669928296
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.4,1429432671.841785,1429423671.8417847,1429423671.8417847,1429430671.8417847,58.77901683264075,54.38979109089701,58.69204059975575,63.56385622703631
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.2,1336311676.4630475,1336287176.4630475,1336287176.4630475,1336320176.4630475,49.295500744402,42.64481753002658,48.917604163053895,57.02192836449379
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.01,1292950760.8361936,1292803260.8361936,1292958260.8361936,1293076260.8361936,38.70355038276371,31.859634190645625,38.24575376384108,47.45658627868795
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,1.0,2144548430.12298,2144548430.1229806,2144548430.1229806,2144548430.1229806,177.6551416634386,177.37713871704815,177.66340561487516,177.944377048708
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.8,1939273452.6247382,1939273452.6247382,1939273452.6247382,1939273452.6247382,172.61384090900182,171.5450626774972,172.72366603973268,173.4468876422924
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.6,1784700091.1947448,1784700091.194745,1784700091.194745,1784700091.194745,162.7100410546154,160.51220513174346,162.4444117640232,165.25798838897833
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.4,1656263018.8451948,1656262018.8451946,1656262018.8451946,1656262018.8451946,146.5068211863826,138.07927603495287,146.9318378857957,154.136122927238
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.2,1534234676.4043221,1534218676.404322,1534218676.404322,1534232676.404322,121.33451676515881,107.22413611080349,121.21276383203553,135.85326588198797
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.01,1478094829.3918767,1477950329.3918767,1478105329.3918767,1478221329.3918767,89.3650486916437,73.53759218959681,88.02096871229621,109.63634013764866
