case,case_label,fraction,scenario,cost,risk_months
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,4,1016837644.8307773,23.628223428189518
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,5,1016867644.8307773,20.029593184611176
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,6,1017067644.8307773,19.151108152779777
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,7,1016997644.8307773,18.730700591458397
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,8,1017317644.8307773,16.575451246744002
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,9,1017097644.8307773,13.121302565085108
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,10,1016857644.8307773,21.336081473529166
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,11,1017037644.8307773,20.25535108936535
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,12,1017117644.8307773,15.921703084379724
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,13,1016987644.8307773,18.815829201635292
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,14,1017067644.8307773,19.005360378754247
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,15,1016857644.8307773,24.597375715717845
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,16,1016887644.8307773,17.69668007925223
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,17,1016837644.8307773,22.19803067887392
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,18,1017097644.8307773,15.67637300140202
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,19,1017007644.8307773,19.414935344647336
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,0,1284156717.0274823,33.603131011245765
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,1,1284156717.0274823,35.42130416683507
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,2,1284156717.0274823,34.86173544751156
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,3,1284156717.0274823,31.932371962009945
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,4,1284156717.0274823,35.93591252945258
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,5,1284156717.0274823,34.46190472883602
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,6,1284176717.0274823,35.613746627110174
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,7,1284156717.0274823,33.382850008558506
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,8,1284196717.0274823,32.99730325472417
