case,case_label,fraction,scenario,cost,risk_months
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.6,9,1302833928.3437274,33.94965807595548
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.6,10,1302833928.3437274,38.738757278312875
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.6,11,1302833928.3437274,36.913451325657775
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.6,12,1302833928.3437274,31.64832757714556
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.6,13,1302833928.3437274,37.28021111771343
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.6,14,1302833928.3437274,36.38753166444661
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.6,15,1302833928.3437274,40.58042197452011
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.6,16,1302833928.3437274,37.53457382154764
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.6,17,1302833928.3437274,40.97185008860247
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.6,18,1302833928.3437274,35.676626103467804
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.6,19,1302833928.3437274,38.580376548481894
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,0,1223972174.7247667,33.73725030973014
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,1,1223972174.7247667,37.689944746787276
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,2,1223972174.7247667,34.92145454825216
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,3,1223972174.7247667,30.96212228868818
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,4,1223972174.7247667,38.67122152377069
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,5,1223972174.7247667,34.7914669138331
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,6,1224112174.7247667,37.52784117034234
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,7,1223972174.7247667,32.16536780207278
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,8,1224152174.7247667,30.02319781461564
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,9,1223972174.7247667,27.906601051547064
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,10,1223972174.7247667,34.974899608185076
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,11,1223972174.7247667,33.04213760504662
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,12,1223972174.7247667,27.43548196731859
