case,case_label,fraction,cost_mean,cost_p10,cost_p50,cost_p90,risk_months_mean,risk_months_p10,risk_months_p50,risk_months_p90
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,1184085182.659879,1184067682.6598792,1184067682.6598792,1184090682.6598792,32.389148167736735,28.568692562410085,32.39369760946508,36.362369486536
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,1125955497.4689867,1125903997.4689867,1125928997.4689867,1125994997.4689867,28.05420321220033,23.99716210847795,27.750006260126806,33.2455797592774
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,1.0,1709277577.4108684,1709277577.4108682,1709277577.4108682,1709277577.4108682,68.70055167761518,68.25128720779743,68.66739060127578,69.15309991863943
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.8,1590378721.1038754,1590378721.1038756,1590378721.1038756,1590378721.1038756,65.4919841686629,64.54235640389531,65.34280521948762,66.64337228752098
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.6,1493028650.4193828,1493028650.4193826,1493028650.4193826,1493028650.4193826,60.821177885488545,58.294704883582206,60.8604649409353,63.50865729230015
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.4,1404710012.4807317,1404700512.4807317,1404700512.4807317,1404708512.4807317,54.24821625542241,49.80897835562978,54.15542262059897,58.92338850487346
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.2,1319493747.0250766,1319467747.0250764,1319467747.0250764,1319501747.0250764,45.62475534937771,39.58552206896186,45.17798134945495,53.01487487234092
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,1.0,2024139995.6951935,2024139995.6951942,2024139995.6951942,2024139995.6951942,145.4061512998999,145.13097426128698,145.4277343646438,145.6886915727792
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.8,1872905308.9175708,1872905308.9175706,1872905308.9175706,1872905308.9175706,140.68965472850593,139.7592345874915,140.610724569742,141.61382982363833
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.6,1741348835.2856064,1741348835.2856064,1741348835.2856064,1741348835.2856064,132.43520217457896,130.5149038874831,132.13353862681817,134.7634919681771
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.4,1622960376.5671077,1622958376.5671077,1622958376.5671077,1622959376.5671077,118.89149543119136,111.88584428395279,119.05770428078169,125.74258458033071
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.2,1512198333.2443707,1512180833.244371,1512180833.244371,1512203833.244371,98.60286376489864,86.97218235206941,98.61671371181981,110.69861257485343
