water_production_AF_month,electricity_cost_usd_month,fixed_cost_usd_month
0.0,28510.025312129183,366000
33.91154207607746,66251.57553650456,366000
67.8230841521549,85526.26167425528,366000
107.08104051950627,101502.92294920588,366000
143.6657897412209,122425.51373908763,366000
172.8419363021707,139127.86338175109,366000
203.431063782957,162568.61725086195,366000
237.34260585903385,182332.1384605326,366000
271.25414793510936,201768.65624169045,366000
305.1656900111859,221149.7645758653,366000
339.07723208726753,240371.06652481575,366000
