water_production_AF_month,electricity_cost_usd_month,fixed_cost_usd_month
37.67949119564164,81925.91438779434,366000
75.35898239128333,96208.0810777484,366000
114.43872494892517,128280.60752607456,366000
150.68614088797565,151568.52419690372,366000
189.28852502675394,183198.77664997205,366000
226.04512327925903,202685.21027714343,366000
263.7246144749007,227906.9252090045,366000
301.3722817759515,258936.734591528,366000
339.05177297159315,284052.2873383092,366000
376.7312641672349,309255.8570057691,366000
