water_production_AF_month,electricity_cost_usd_month,fixed_cost_usd_month
0.19710283101469014,52393.7593657625,366000
33.904109589041255,73146.47360084657,366000
67.80821917808233,93708.0405915114,366000
101.71232876713066,114454.30300548467,366000
135.61643835617693,132127.41363011065,366000
169.52054794520518,153637.57494449653,366000
203.42465753424386,173694.70578287868,366000
237.3287671232795,192468.70394031945,366000
271.23287671235187,213407.59005877332,366000
305.1369863013602,243835.23041736227,366000
339.0410958903957,304038.0306050362,366000
