cost,risk_months_supply
944864504.845055,19.189849996126704
1176937809.1153874,29.905570630133173
977646258.9294466,23.03468319480413
1070278850.843923,28.29958200858319
983654192.8412316,23.59429002854193
1024377974.8160584,26.690688509580394
974136200.0400827,22.59415548892305
1145356502.9996462,29.533396116190385
1154336864.3444476,29.679336126423117
953615667.283283,20.148738777961576
1017662036.9623989,26.368266687893215
951110165.8948189,19.826849267585867
948010532.4333594,19.490306575756467
1058997521.1971323,27.966220182414027
1136472584.2358506,29.47866720683267
1120446589.2048228,29.238677489228486
1050110022.5008627,27.7305845614792
1008809798.0833517,25.728591939592302
986507531.0484396,23.84137919640181
1115161209.7505558,29.091718547933983
1163763868.727963,29.799722575359432
990472574.0589511,24.11689496246588
1030226711.0107081,26.900690863701875
1078480439.020757,28.479305669619727
1012034456.920254,25.975100598632338
997252733.6063162,24.845764099747726
1106643554.3018484,29.04825382064066
964231633.7056577,21.366572445625
956495912.4079094,20.544278934137107
993835450.4447683,24.52096131520782
1015758977.2053846,26.17105447909941
1002143206.4221799,25.129064905696065
1058199019.8015865,27.961639437955768
967140101.8189974,21.697960594475973
1046453252.6600697,27.63972608210951
1034867027.1836102,27.112030389279038
1090662759.5059981,28.623016908863086
973192169.8755581,22.21356444996433
1128149510.4474087,29.35966430558787
960103028.5947281,20.879272846198845
1129188197.8230832,29.392491657694734
957113949.3045962,20.679841935702417
1083501972.463758,28.620735377102978
1039925804.3721374,27.35415484463199
1043478228.4147589,27.426136549305948
1101349953.7722926,28.995559331676333
969531132.0363766,22.00901676079254
966215588.1137302,21.535267414341742
961598169.9178587,21.038854068839363
1005176454.1482656,25.44354124997083
