cost,risk_months_supply
1225341694.5828202,29.905570630133163
953667699.4314219,19.187317347644896
983644059.8828741,21.92624895332019
977531901.2139666,21.346978368251182
973205236.3251253,20.900770082055885
960526637.1846777,19.530772308391732
1018018347.0196047,24.75329113816828
1198300083.3480372,29.648748134644404
1205541097.4133954,29.733324768932683
1219187700.7517023,29.849792846891013
1026016312.8796953,25.15892033400403
1014481909.1854252,24.2862739378466
1118338838.8983653,28.333803147244716
1008093355.6370264,23.767668701093363
1031862651.8122761,25.64081458962216
1079821700.0595396,27.524739194216853
990537147.9448265,22.441835258949766
1072048383.1576807,27.284391041321857
1111495065.952868,28.271123562598877
1103615896.940121,28.132437023166517
1182748320.8787107,29.533856837760226
1061306567.4485366,26.981643165828967
1101672897.0250201,27.87731235338627
1165936314.3674078,29.24281463849865
1011095313.3318437,24.160322097707574
967123261.7452673,20.375371033395147
1040177426.6124904,25.99996914529932
1146038641.4660065,28.923014304020477
1001928891.106868,23.673286551822123
1024191703.1885961,25.03034420886098
1058379159.5611378,26.6702840665812
995623196.788801,22.962533323879065
1128937261.5544846,28.43764794550136
1136578367.381472,28.652204308115312
1140440624.0510583,28.778878549715596
1092288439.870758,27.804781404876955
953905301.045867,19.19650810982074
964127334.5203508,19.941570529337834
1084914462.8417711,27.671083971591845
1045993693.7405154,26.212177199786566
1049678646.0810382,26.501384380113166
992511278.4212816,22.52812146666731
1034741314.2038581,25.744317895506136
964572236.8609997,19.97074405426277
1073358428.791542,27.2907073835272
1151895810.0662277,29.06999883408122
1131100765.1527126,28.492582838475982
967108185.9594533,20.374401234497846
1157315266.3809848,29.13950571585744
998287641.0479233,23.30188579159799
