cost,risk_months_supply
1357475330.6340625,36.79427422001482
1049929528.5884275,21.783038074629733
1165725963.673205,32.370612820083764
1339681664.1520944,36.65515341654985
1093359875.9304633,27.760658127324724
1149481687.3510385,31.642334309240603
1181824049.1909387,32.77145760902039
1060233068.4790833,23.46042222662739
1100181565.9718192,28.38995317875584
1323661101.0916865,36.516636624793236
1066724231.5090373,24.4001709733431
1056308575.6647806,22.695146435806148
1294668057.4202466,36.059693663934446
1256825008.508884,35.31032883385326
1104215329.6634688,28.68520848860418
1117026481.3282332,29.32650643515715
1222239765.548447,34.15867144309864
1070144230.6797857,25.022557088076134
1072294777.4475759,25.473137227106214
1123539697.0078828,30.230885551000796
1249345123.8675723,35.08160612356924
1183645695.4523754,33.08124192076827
1274414524.5518496,35.68707676553585
1281028546.998608,35.786384390427145
1079046354.7572727,26.400642000820927
1089241966.2001278,27.245949081008217
1209377594.7068295,33.91012148999107
1199074207.0285573,33.584705532058656
1209821361.8258996,33.94810310305632
1233856583.8789387,34.7541750725831
1315472868.6998017,36.41472542432173
1309940534.8706093,36.33080338091229
1078650077.4360533,25.932545062895777
1141470239.1153843,31.266690995699257
1109316350.2205539,29.118756180871127
1064204182.0684735,23.944972744383175
1190921876.4371896,33.32204864700541
1051700299.9935786,21.97778119679338
1062726284.7131326,23.90379540077788
1147729007.0902607,31.57165995551556
1118983928.5879667,29.929717217334986
1242942765.0180964,34.945442291835946
1265503857.2255974,35.490137363787085
1265976426.7346387,35.498021663771084
1082191280.4360187,26.759425335346116
1133647529.648255,30.858541091571528
1133814944.6317384,30.889102024581366
1128392844.5803576,30.532210290792648
1109449003.7748706,29.129908657063698
1140221625.1009142,31.15677967449949
