cost,risk_months_supply
946999627.9124447,19.19305890341422
1159739070.8521214,29.903587961950826
1008627999.4514132,25.90288965283575
1022045464.1538813,26.613644148319963
1025629267.4731737,26.778028954915175
1057215765.7030087,28.0236064313901
1033764521.0855917,27.18468511241279
1064508022.6693996,28.137727366075296
975702470.2689457,22.817164673670653
1050031495.5584803,27.782822433027235
997557459.8132757,24.94364164881165
1078631776.8881068,28.557786181944742
1047681337.021271,27.607499318115856
993172475.6154855,24.569219564536347
973038662.1819675,22.543418395191505
1111758344.7061257,29.34549108879271
1040929887.6180823,27.405323737812182
960927515.2958982,20.57294600174686
1072983033.242547,28.355835006587334
1101540895.3841028,29.054947899962723
964912710.1903048,21.528688674664558
1004088106.4883206,25.486487697653548
990619010.82633,24.482694011442064
1093905372.0067983,28.976695054320448
962738337.0208604,21.1515863502916
965768478.7239339,21.68291720686834
1005226768.701545,25.61190971512526
1070565470.534063,28.25251214933322
969983686.459837,22.30020992479606
1157753853.139181,29.890665324040278
1127244058.370342,29.6002358021015
1143953328.159152,29.791569276422614
950094351.8886797,19.55203627967905
1000573077.408572,25.16433082372189
952484530.9843388,19.575344067238074
984683634.5530926,23.688229383509544
1106427440.6098623,29.2428897900445
1148190089.038561,29.82321578393977
1118453124.123161,29.425342043946266
1083565260.6730647,28.713007377659796
955936668.5185328,20.305608620224568
960316462.3530658,20.53357741679404
979011795.9969375,23.14290541453846
1090527336.9247875,28.840273434579103
962738363.8550695,21.151586512089256
1120873444.8683238,29.48711129552685
989142979.0997254,24.091162611664238
967046490.5326092,22.076534220648234
947447078.6778433,19.234819170172326
986692811.1030372,23.88990530624829
