case,case_label,fraction,cost_mean,cost_p10,cost_p50,cost_p90,risk_months_mean,risk_months_p10,risk_months_p50,risk_months_p90
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,1318774717.3419907,1318773717.3419905,1318773717.3419905,1318773717.3419905,40.73095707076294,38.38798097589493,40.849117691531106,42.85201026931237
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,1251540246.2667801,1251531246.26678,1251531246.26678,1251538246.26678,37.56020515209296,34.75545903345433,37.504626727570844,40.617751177148534
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,1188762746.2728639,1188746746.2728634,1188746746.2728634,1188760746.2728634,33.732702365279394,29.809818065213094,33.69885333728107,37.769118842068806
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,1130121627.8220787,1130072627.8220787,1130097627.8220787,1130163627.8220787,29.116895628110996,24.936264188197672,28.78473367322521,34.49036474472091
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,1077827723.8387287,1077684723.8387284,1077835723.8387284,1077951723.8387284,24.618053949956447,20.268904934112317,24.327132411511638,30.21047609405923
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,1.0,1769850228.1717792,1769850228.1717794,1769850228.1717794,1769850228.1717794,74.18046130528984,73.72089133319267,74.11769274990209,74.68576254291493
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.8,1604075279.225415,1604075279.2254152,1604075279.2254152,1604075279.2254152,70.79058252951363,69.83436566498607,70.67501466353531,71.89912306508839
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.6,1504225557.8181179,1504225557.8181176,1504225557.8181176,1504225557.8181176,65.93392756879851,63.6290041978086,65.94715543411775,68.5071566992832
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.4,1411958728.243611,1411949728.2436113,1411949728.2436113,1411956728.2436113,58.77901683264097,54.38979109089721,58.69204059975597,63.563856227036524
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.2,1324477372.1769745,1324452872.1769743,1324452872.1769743,1324485872.1769743,49.29550074440217,42.64481753002672,48.917604163054065,57.021928364493974
basetariff_flexible/6mpd_36vessels,flexible_6mpd_36vessels,0.01,1247281256.1414762,1247133756.1414762,1247288756.1414762,1247406756.1414762,38.70355038276384,31.859634190645725,38.24575376384119,47.4565862786881
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,1.0,2115054708.1509373,2115054708.1509368,2115054708.1509368,2115054708.1509368,177.65514166344238,177.37713871705193,177.66340561487888,177.94437704871174
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.8,1895340981.81088,1895340981.8108797,1895340981.8108797,1895340981.8108797,172.61384090900552,171.54506267750102,172.7236660397364,173.44688764229608
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.6,1759152075.4806557,1759152075.4806557,1759152075.4806557,1759152075.4806557,162.71004105461893,160.51220513174687,162.4444117640267,165.25798838898191
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.4,1633138700.5316892,1633137700.5316892,1633137700.5316892,1633137700.5316892,146.50682118638585,138.07927603495585,146.93183788579893,154.13612292724136
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.2,1519919929.1969533,1519903929.1969533,1519903929.1969533,1519917929.1969533,121.33451676516147,107.22413611080586,121.21276383203816,135.8532658819908
basetariff_flexible/8mpd_36vessels,flexible_8mpd_36vessels,0.01,1416769482.4668565,1416624982.4668562,1416779982.4668562,1416895982.4668562,89.36504869164557,73.53759218959837,88.02096871229807,109.63634013765098
