water_production_AF_month,electricity_cost_usd_month,fixed_cost_usd_month
0.0,0.0,366000
43.85964912280702,16432.748538011696,366000
87.71929824561404,32865.49707602339,366000
131.57894736842107,49298.245614035084,366000
175.43859649122808,65730.99415204678,366000
219.2982456140351,82163.74269005848,366000
263.15789473684214,98596.49122807017,366000
307.01754385964915,115029.23976608187,366000
350.87719298245617,131461.98830409357,366000
394.7368421052632,147894.73684210525,366000
438.5964912280702,164327.48538011697,366000
482.4561403508772,180760.23391812865,366000
526.3157894736843,197192.98245614034,366000
570.1754385964913,213625.73099415205,366000
614.0350877192983,230058.47953216374,366000
657.8947368421053,246491.22807017545,366000
701.7543859649123,246491.22807017545,366000
745.6140350877193,378980.26315789483,366000
789.4736842105264,511469.29824561416,366000
833.3333333333334,643958.3333333335,366000
