8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	4113	5578.5	6943.7	8800	8800	8800	8800	8800	8800	5573.3	5594.1	5887	6628.9	8800	8800	8800	8800	8800	7249.5	679.6	7103	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	5202.1	264.39	6305.1	6877.1	8800	8800	8800	8800	8800	8800	8800	8800	8800
512.34	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	6982	2538.8	6725.9	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	590.05	4782	7034.5	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	5415.8	5476.7	6977.1	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8655.3	5980.7	5995.2	7876.2	8800	8800	5522.3
3820.3	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	7277	8490.4	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	7651.4	4467.6	5248.1	8234.2	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8452.6	6061.7	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	6854.3	2110.2	5941.4	7968	8800	8800	8800	8800	8800	8800
8800	8800	8800	8800	8800	6648.3	4577.9	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	6089.2	1588.2	8181.3	8800	8800	8800	8800	8800	8800	8800	8800	8800	7097.5	7227.7	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	5464.8	707.86	8553.6	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800
8800	5965	8800	8800	8800	8758.4	8800	5316.3	3221.4	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	2887.3	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	6033.4	4972.7	8800	8800	8800	8800	8800	8800	8800	370.42	5634.3	6192.2	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	5796.5	6505.6	4795	5250	4933.9	4878.6	4969	5288.6	3840.8	3194.3	4515.9	5123	5256.1	5401.3	5184.4	3711.8	3399.2	3459	3708.2	4018.1	3493.9	3966.3	3351.3	3990.2	3737.7	4286.5	4927.6
4398.4	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8053.9	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	7337	6570.1	5861	7311.2	6366.3	6615.2	8472.3	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	6806.8	7817	7757.7	8800	8800	8800	8800	8800	8800	7700.6	6351.1	5193.4	6940.1
8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8066.8	715.28	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	1398.1	7512.3	8800	8800	8800	8800	8800	7167.4	6329.4	6557.3	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	1489.4	8688.4	8800	8800	8800	8800	6636.1	5063	5865.2	6072.4	5758.2	5964.3	6662.1	6570.7
8339.4	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	771.4	5833.8	8407	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	925.38	5276.5	6543.6	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	1691.2	7502.4	8744.5	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	5157.8	8800	8800	8800	8800	8800	6813.3	4128.8
2874.7	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	6130	6518.7	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	6305.1	8242.1	8800	8800	8800	8800	8800	8800	8800	8800	8800	5157.9	6448	8800	8800	8800	8800	8800	8800	824.73	845.31	5604.1	6843.8	7002.7	8371.4	8800	5801.4	6320.1	6929.3	7429.5	8268.9	7117.4	6950.1	6690.5	5482.1	6674.7	6795.1	7015.2	6751.5	7761.3	4790.5	4599.5	3044.4	2916.6	4117.2	4357.8	5592.8	5166.3	7711.2	5669.7	5706.2	4765	6765.3	4504.3
8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	5918.4	292.68	6662	8567.5	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	7451.5	364.58	5093	5731.6	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	7914.6	6376.2	4888.5	8800	8800	8800	8800	8800	8800	8800	8800	4535.2	7915.2	8800	8800	8800	8800	8800
